date,Alpha $ PnL,Net Futures Exposure
3/22/2011,0,0
3/23/2011,0,0
3/24/2011,0,0
3/25/2011,0,1.5
3/28/2011,0,1.5
3/29/2011,0,1.5
3/30/2011,0,1.5
3/31/2011,0,1.5
4/1/2011,0,1.5
4/4/2011,0,1.5
4/5/2011,0,1.5
4/6/2011,0,1.5
4/7/2011,0,1.5
4/8/2011,0,1.5
4/11/2011,0,1.5
4/12/2011,0,1.5
4/13/2011,0,1.5
4/14/2011,0,1.5
4/15/2011,0,1.5
4/18/2011,0,1.5
4/19/2011,0,1.5
4/20/2011,0,1.5
4/21/2011,0,1.5
4/22/2011,0,1.5
4/25/2011,0,1.5
4/26/2011,0,1.5
4/27/2011,0,1.5
4/28/2011,0,1.5
4/29/2011,0,1.5
5/2/2011,0,1.5
5/3/2011,0,1.5
5/4/2011,0,1.5
5/5/2011,0,1.5
5/6/2011,0,1.5
5/9/2011,0,1.5
5/10/2011,0,1.5
5/11/2011,0,1.5
5/12/2011,0,1.5
5/13/2011,0,1.5
5/16/2011,0,1.5
5/17/2011,0,1.5
5/18/2011,0,1.5
5/19/2011,0,1.5
5/20/2011,0,1.5
5/23/2011,0,1.5
5/24/2011,0,1.5
5/25/2011,0,1.5
5/26/2011,0,1.5
5/27/2011,0,1.5
5/31/2011,0,1.5
6/1/2011,0,1.5
6/2/2011,0,1.5
6/3/2011,0,1.5
6/4/2011,0,1.5
6/5/2011,0,1.5
6/6/2011,-10.5,1.5
6/7/2011,64.5,1.5
6/8/2011,-591.75,1.5
6/9/2011,233.25,1.5
6/10/2011,-1154.25,1.5
6/11/2011,-1154.25,1.5
6/12/2011,-1154.25,1.5
6/13/2011,-1210.5,1.5
6/14/2011,8.25,1.5
6/15/2011,-1456.5,1.5
6/16/2011,-1531.5,1.5
6/17/2011,-987.75,1.5
6/18/2011,-987.75,1.5
6/19/2011,-987.75,1.5
6/20/2011,-594,1.5
6/21/2011,643.5,1.5
6/22/2011,137.25,1.5
6/23/2011,-706.5,1.5
6/24/2011,-1306.5,1.5
6/25/2011,-1306.5,1.5
6/26/2011,-1306.5,1.5
6/27/2011,-369,1.5
6/28/2011,662.25,1.5
6/29/2011,1506,1.5
6/30/2011,2631,1.5
7/1/2011,4056,1.5
7/2/2011,4056,1.5
7/3/2011,4056,1.5
7/4/2011,4056,1.5
7/5/2011,3906,1.5
7/6/2011,3924.75,1.5
7/7/2011,5106,1.5
7/8/2011,4281,1.5
7/9/2011,4281,1.5
7/10/2011,4281,1.5
7/11/2011,2462.25,1.5
7/12/2011,2293.5,3.5
7/13/2011,2274.75,3.5
7/14/2011,1806,1.5
7/15/2011,2199.75,1.5
7/16/2011,2199.75,1.5
7/17/2011,2199.75,1.5
7/18/2011,1318.5,3.5
7/19/2011,3081,3.5
7/20/2011,3043.5,3.5
7/21/2011,4431,3.5
7/22/2011,4431,1.5
7/23/2011,4431,1.5
7/24/2011,4431,3.5
7/25/2011,3924.75,3.5
7/26/2011,3531,1.5
7/27/2011,1506,1.5
7/28/2011,1149.75,1.5
7/29/2011,531,3.5
7/30/2011,531,1.5
7/31/2011,531,3.5
8/1/2011,193.5,1.5
8/2/2011,-1981.5,3.5
8/3/2011,-2000.25,3.5
8/4/2011,-5900.25,1.5
8/5/2011,-6331.5,1.5
8/6/2011,-6331.5,1.5
8/7/2011,-6331.5,3.5
8/8/2011,-11919,3.5
8/9/2011,-10062.75,3.5
8/10/2011,-11675.25,3.5
8/11/2011,-7437.75,3.5
8/12/2011,-8112.75,3.5
8/13/2011,-8112.75,5.5
8/14/2011,-8112.75,3.5
8/15/2011,-6106.5,3.5
8/16/2011,-6519,1.5
8/17/2011,-6819,3.5
8/18/2011,-11356.5,1.5
8/19/2011,-11825.25,5.5
8/20/2011,-11825.25,1.5
8/21/2011,-11825.25,3.5
8/22/2011,-11562.75,3.5
8/23/2011,-9387.75,5.5
8/24/2011,-8000.25,5.5
8/25/2011,-9594,7.5
8/26/2011,-8169,3.5
8/27/2011,-8169,7.5
8/28/2011,-8169,3.5
8/29/2011,-5619,5.5
8/30/2011,-4850.25,3.5
8/31/2011,-4681.5,3.5
9/1/2011,-5750.25,3.5
9/2/2011,-8000.25,3.5
9/3/2011,-8000.25,1.5
9/4/2011,-8000.25,5.5
9/5/2011,-8000.25,1.5
9/6/2011,-9237.75,5.5
9/7/2011,-6575.25,1.5
9/8/2011,-6987.75,5.5
9/9/2011,-9594,1.5
9/10/2011,-9594,3.5
9/11/2011,-9594,1.5
9/12/2011,-9575.25,5.5
9/13/2011,-8131.5,1.5
9/14/2011,-6465,5.5
9/15/2011,-5546.25,3.5
9/16/2011,-4983.75,3.5
9/17/2011,-4983.75,1.5
9/18/2011,-4983.75,3.5
9/19/2011,-5565,1.5
9/20/2011,-5883.75,5.5
9/21/2011,-7871.25,1.5
9/22/2011,-11865,5.5
9/23/2011,-10983.75,1.5
9/24/2011,-10983.75,3.5
9/25/2011,-10983.75,3.5
9/26/2011,-9183.75,3.5
9/27/2011,-7908.75,1.5
9/28/2011,-9540,3.5
9/29/2011,-9502.5,3.5
9/30/2011,-10608.75,3.5
10/1/2011,-10608.75,3.5
10/2/2011,-10608.75,3.5
10/3/2011,-13121.25,3.5
10/4/2011,-13196.25,3.5
10/5/2011,-10233.75,5.5
10/6/2011,-8921.25,7.5
10/7/2011,-8771.25,3.5
10/8/2011,-8771.25,5.5
10/9/2011,-8771.25,5.5
10/10/2011,-8771.25,3.5
10/11/2011,-6246,5.5
10/12/2011,-3052.25,3.5
10/13/2011,-5333.25,3.5
10/14/2011,-3852,3.5
10/15/2011,-3852,3.5
10/16/2011,-3852,3.5
10/17/2011,-5202,1.5
10/18/2011,-3439.5,5.5
10/19/2011,-4683,5.5
10/20/2011,-3808,3.5
10/21/2011,-789.25,3.5
10/22/2011,-789.25,1.5
10/23/2011,-789.25,1.5
10/24/2011,2579.5,3.5
10/25/2011,-1189,1.5
10/26/2011,-195.25,3.5
10/27/2011,3061.25,1.5
10/28/2011,2623.75,3.5
10/29/2011,2623.75,5.5
10/30/2011,2623.75,3.5
10/31/2011,-2194.75,5.5
11/1/2011,-4838.5,7.5
11/2/2011,-3769.75,3.5
11/3/2011,-1844.5,3.5
11/4/2011,-3338,7.5
11/5/2011,-3338,5.5
11/6/2011,-3338,5.5
11/7/2011,-2875.25,5.5
11/8/2011,-37.5,3.5
11/9/2011,-3474.75,7.5
11/10/2011,-1593.5,5.5
11/11/2011,-1593.5,7.5
11/12/2011,-1593.5,5.5
11/13/2011,-1593.5,7.5
11/14/2011,806.75,7.5
11/15/2011,1481.75,3.5
11/16/2011,-18.25,5.5
11/17/2011,-2368,5.5
11/18/2011,-1361.75,3.5
11/19/2011,-1361.75,5.5
11/20/2011,-1361.75,5.5
11/21/2011,-4643,7.5
11/22/2011,-6130.5,7.5
11/23/2011,-9499.25,5.5
11/24/2011,-9499.25,5.5
11/25/2011,-11949.25,3.5
11/26/2011,-11949.25,3.5
11/27/2011,-11949.25,7.5
11/28/2011,-6749,7.5
11/29/2011,-2836.25,3.5
11/30/2011,4939.25,7.5
12/1/2011,5239.5,5.5
12/2/2011,5214.75,7.5
12/3/2011,5214.75,5.5
12/4/2011,5214.75,7.5
12/5/2011,6608.75,7.5
12/6/2011,7290.5,5.5
12/7/2011,8103.5,7.5
12/8/2011,6222.5,5.5
12/9/2011,9229.25,5.5
12/10/2011,9229.25,7.5
12/11/2011,9229.25,5.5
12/12/2011,5448.75,7.5
12/13/2011,2274.25,7.5
12/14/2011,-801.75,3.5
12/15/2011,780,5.5
12/16/2011,1074.25,3.5
12/17/2011,1074.25,1.5
12/18/2011,1074.25,3.5
12/19/2011,-4469,5.5
12/20/2011,2262.5,5.5
12/21/2011,2588.25,5.5
12/22/2011,4370,3.5
12/23/2011,6283,5.5
12/24/2011,6283,5.5
12/25/2011,6283,1.5
12/26/2011,6283,5.5
12/27/2011,6796,3.5
12/28/2011,3858.75,3.5
12/29/2011,4821.75,5.5
12/30/2011,3984.75,3.5
12/31/2011,3984.75,5.5
1/1/2012,3984.75,3.5
1/2/2012,3984.75,3.5
1/3/2012,5529,5.5
1/4/2012,4898.25,3.5
1/5/2012,5148.75,5.5
1/6/2012,4311.75,5.5
1/7/2012,4311.75,5.5
1/8/2012,4311.75,7.5
1/9/2012,4568.25,5.5
1/10/2012,6268.5,5.5
1/11/2012,6387.75,5.5
1/12/2012,7269.5,3.5
1/13/2012,6695,5.5
1/14/2012,6695,3.5
1/15/2012,6695,5.5
1/16/2012,6695,7.5
1/17/2012,8132.75,5.5
1/18/2012,10395.75,7.5
1/19/2012,11658.5,7.5
1/20/2012,11652.5,3.5
1/21/2012,11652.5,5.5
1/22/2012,11652.5,3.5
1/23/2012,12302.75,5.5
1/24/2012,11972,5.5
1/25/2012,15810,5.5
1/26/2012,15048,7.5
1/27/2012,15586,5.5
1/28/2012,15586,3.5
1/29/2012,15586,3.5
1/30/2012,14923.75,3.5
1/31/2012,15305.5,5.5
2/1/2012,17743.5,3.5
2/2/2012,17650,1.5
2/3/2012,18956.5,5.5
2/4/2012,18956.5,3.5
2/5/2012,18956.5,3.5
2/6/2012,18956.5,5.5
2/7/2012,19962.75,3.5
2/8/2012,20137.75,5.5
2/9/2012,20444,3.5
2/10/2012,18606.5,3.5
2/11/2012,18606.5,5.5
2/12/2012,18606.5,3.5
2/13/2012,20356.5,5.5
2/14/2012,19913,5.5
2/15/2012,19082,3.5
2/16/2012,24507.5,5.5
2/17/2012,24982.75,3.5
2/18/2012,24982.75,5.5
2/19/2012,24982.75,7.5
2/20/2012,24982.75,5.5
2/21/2012,24914,7.5
2/22/2012,24083,7.5
2/23/2012,24995.75,1.5
2/24/2012,25471,5.5
2/25/2012,25471,3.5
2/26/2012,25471,3.5
2/27/2012,26115.25,5.5
2/28/2012,26759.5,3.5
2/29/2012,25622,5.5
3/1/2012,26791.25,3.5
3/2/2012,26304,3.5
3/3/2012,26304,5.5
3/4/2012,26304,3.5
3/5/2012,25935.75,5.5
3/6/2012,20092,5.5
3/7/2012,23317.25,3.5
3/8/2012,25449,5.5
3/9/2012,26230.5,5.5
3/10/2012,26230.5,5.5
3/11/2012,26230.5,7.5
3/12/2012,26193,5.5
3/13/2012,27949.5,7.5
3/14/2012,27866.75,7.5
3/15/2012,28479.5,3.5
3/16/2012,28998.5,5.5
3/17/2012,28998.5,3.5
3/18/2012,28998.5,5.5
3/19/2012,29386.25,7.5
3/20/2012,28374,5.5
3/21/2012,28711.75,7.5
3/22/2012,26562,5.5
3/23/2012,27656,5.5
3/24/2012,27656,5.5
3/25/2012,27656,3.5
3/26/2012,34394,5.5
3/27/2012,34175.25,7.5
3/28/2012,32675.75,5.5
3/29/2012,32013.5,7.5
3/30/2012,33514,5.5
3/31/2012,33514,5.5
4/1/2012,33514,5.5
4/2/2012,36607.75,3.5
4/3/2012,34264.25,7.5
4/4/2012,32414.75,5.5
4/5/2012,31752.5,3.5
4/6/2012,26521.5,7.5
4/7/2012,26521.5,3.5
4/8/2012,26521.5,7.5
4/9/2012,27921.75,7.5
4/10/2012,21384.5,5.5
4/11/2012,24572,7.5
4/12/2012,32060,5.5
4/13/2012,29560.25,7.5
4/14/2012,29560.25,7.5
4/15/2012,29560.25,5.5
4/16/2012,29204.5,5.5
4/17/2012,34561,3.5
4/18/2012,33680,3.5
4/19/2012,31330.5,5.5
4/20/2012,31393.25,3.5
4/21/2012,31393.25,5.5
4/22/2012,31393.25,3.5
4/23/2012,26799.5,3.5
4/24/2012,29043.5,5.5
4/25/2012,33775.25,3.5
4/26/2012,36931.75,5.5
4/27/2012,37588,5.5
4/28/2012,37588,3.5
4/29/2012,37588,5.5
4/30/2012,36351,3.5
5/1/2012,40194.75,3.5
5/2/2012,38495.25,7.5
5/3/2012,36558.25,5.5
5/4/2012,28958.5,5.5
5/5/2012,28958.5,5.5
5/6/2012,28958.5,3.5
5/7/2012,28883.75,5.5
5/8/2012,26252.75,3.5
5/9/2012,24803,7.5
5/10/2012,24334.25,7.5
5/11/2012,23015.75,5.5
5/12/2012,23015.75,7.5
5/13/2012,23015.75,5.5
5/14/2012,18953.5,3.5
5/15/2012,16603.75,5.5
5/16/2012,15160,3.5
5/17/2012,9654,5.5
5/18/2012,4679.25,5.5
5/19/2012,4679.25,3.5
5/20/2012,4679.25,5.5
5/21/2012,10585.75,3.5
