,Alpha Dollar PnL,Net Futures Exposure
2011-06-01,0.0,0.0
2011-06-02,0.0,0.0
2011-06-03,0.0,0.0
2011-06-04,0.0,0.0
2011-06-05,0.0,0.0
2011-06-06,-10.5,1.5
2011-06-07,64.5,1.5
2011-06-08,-591.75,1.5
2011-06-09,233.25,1.5
2011-06-10,-1154.25,1.5
2011-06-11,-1154.25,1.5
2011-06-12,-1154.25,1.5
2011-06-13,-1210.5,1.5
2011-06-14,8.25,1.5
2011-06-15,-1456.5,1.5
2011-06-16,-1531.5,1.5
2011-06-17,-987.75,1.5
2011-06-18,-987.75,1.5
2011-06-19,-987.75,1.5
2011-06-20,-594.0,1.5
2011-06-21,643.5,1.5
2011-06-22,137.25,1.5
2011-06-23,-706.5,1.5
2011-06-24,-1306.5,1.5
2011-06-25,-1306.5,1.5
2011-06-26,-1306.5,1.5
2011-06-27,-369.0,1.5
2011-06-28,662.25,1.5
2011-06-29,1506.0,1.5
2011-06-30,2631.0,1.5
2011-07-01,4056.0,1.5
2011-07-02,4056.0,1.5
2011-07-03,4056.0,1.5
2011-07-04,4056.0,1.5
2011-07-05,3906.0,1.5
2011-07-06,3924.75,1.5
2011-07-07,5106.0,1.5
2011-07-08,4281.0,1.5
2011-07-09,4281.0,1.5
2011-07-10,4281.0,1.5
2011-07-11,2462.25,1.5
2011-07-12,2293.5,1.5
2011-07-13,2274.75,1.5
2011-07-14,1806.0,1.5
2011-07-15,2199.75,1.5
2011-07-16,2199.75,1.5
2011-07-17,2199.75,1.5
2011-07-18,1318.5,1.5
2011-07-19,3081.0,1.5
2011-07-20,3043.5,1.5
2011-07-21,4431.0,1.5
2011-07-22,4431.0,1.5
2011-07-23,4431.0,1.5
2011-07-24,4431.0,1.5
2011-07-25,3924.75,1.5
2011-07-26,3531.0,1.5
2011-07-27,1506.0,1.5
2011-07-28,1149.75,1.5
2011-07-29,531.0,1.5
2011-07-30,531.0,1.5
2011-07-31,531.0,1.5
2011-08-01,193.5,1.5
2011-08-02,-1981.5,1.5
2011-08-03,-2000.25,1.5
2011-08-04,-5900.25,1.5
2011-08-05,-6331.5,1.5
2011-08-06,-6331.5,1.5
2011-08-07,-6331.5,1.5
2011-08-08,-11919.0,1.5
2011-08-09,-10062.75,1.5
2011-08-10,-11675.25,1.5
